NAME,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,FPTS/G,FPTS
Russell Wilson,1502,19,3,153,0,29.5,147.38
Patrick Mahomes,1474,13,1,129,2,27.6,137.86
Josh Allen,1589,14,3,101,3,27.1,135.66
Dak Prescott O,1856,9,4,93,3,26.9,134.64
Kyler Murray,1299,8,6,296,5,25.9,129.56
Aaron Rodgers,1214,13,0,31,0,25.8,103.06
Ryan Fitzpatrick,1344,7,5,131,2,20.6,102.86
Tom Brady,1375,12,4,6,1,19.9,99.6
Deshaun Watson,1451,9,5,83,1,19.7,98.34
Jared Goff,1372,8,3,29,2,19.6,97.78
Lamar Jackson,949,9,2,238,1,19.6,97.76
Derek Carr,1442,11,1,34,0,19,95.08
Gardner Minshew II,1439,10,4,87,0,18.9,94.26
Teddy Bridgewater,1460,6,3,73,1,17.9,89.7
Drew Brees,1331,9,3,-2,1,17.8,89.04
Ryan Tannehill,1004,9,1,77,1,22,87.86
Justin Herbert,1195,9,3,55,1,21.8,87.3
Carson Wentz,1188,6,9,122,3,17.1,85.72
Matt Ryan,1472,7,3,23,0,16.6,83.18
Ben Roethlisberger,1016,10,1,2,0,20.2,80.84
Joe Burrow,1304,6,3,85,1,16.1,80.66
Matthew Stafford,1017,8,3,45,0,18.3,73.18
Cam Newton,714,2,2,149,4,23.8,71.46
Baker Mayfield Q,976,9,4,32,0,14,70.24
Kirk Cousins,1132,8,7,55,0,13.8,68.78
